Product ID,Prism TOC,Prism Page Mapping,Resource,Course/Paper API
60ff996c0e429e21ee07cce2,TOC passed,Page Mapping passed,resource not passed,course passed
608269243ae98314d77d194a,TOC passed,Page Mapping passed,resources passed,course passed
